COVID-19 Vaccinations in the United States
Date generated: Mon Oct 17 2022 11:49:37 GMT-0700 (Pacific Daylight Time)
'Other' includes doses of vaccine administered or delivered that are not from Pfizer-BioNTech Moderna J&J or Novavax.
					 'Original' includes primary series and booster vaccine doses that are not updated (bivalent) formulations.

Jurisdiction (State/Territory) or Federal Entity,Total doses distributed,Doses distributed per 100K pop,Doses distributed by jurisdiction per 100K of 18+ pop,Total doses administered by jurisdiction,Doses administered by jurisdiction per 100K pop,Doses administered by jurisdiction to 18+ pop,Doses administered by jurisdiction per 100K of 18+ pop,Residents with at least one dose,Percent of total pop with at least one dose,Residents 18+ with at least one dose,Percent of 18+ pop with at least one dose,Residents with a completed primary series,Percent of total pop with a completed primary series,Residents 18+ with a completed primary series,Percent of 18+ pop with a completed primary series,Total number of original Pfizer doses distributed,Total number of Pfizer updated booster doses distributed,Total number of original Moderna doses distributed,Total number of Moderna updated booster doses distributed,Total number of Janssen doses distributed,Total number of Novavax doses distributed,Total number of doses from other manufacturer distributed,Total number of Janssen doses administered,Total number of original Moderna doses administered,Total number of Moderna updated booster doses administered,Total number of original Pfizer doses administered,Total number of Pfizer updated booster doses administered,Total number of Novavax doses administered,Total number of doses from other manufacturer administered,Residents 65+ with at least one dose,Percent of 65+ pop with at least one dose,Residents 65+ with a completed primary series,Percent of 65+ pop with a completed primary series,Doses administered by jurisdiction to 65+ pop,Doses administered by jurisdiction per 100K of 65+ pop,Doses distributed by jurisdiction per 100K of 65+ pop,Residents 12+ with at least one dose,Percent of 12+ pop with at least one dose,Residents 12+ with a completed primary series,Doses administered by jurisdiction to 12+ pop ,Doses administered by jurisdiction per 100K of 12+ pop,Doses distributed by jurisdiction per 100K of 12+ pop,Residents 5+ with at least one dose,Percent of 5+ pop with at least one dose,Residents 5+ with a completed primary series,Percent of 5+ pop with a completed primary series,Doses administered by jurisdiction to 5+ pop,Doses administered by jurisdiction per 100K of 5+ pop,Doses distributed by jurisdiction per 100K of 5+ pop,Residents with a first booster dose,Percent of completed primary series pop with a first booster dose,Residents 5+ with a first booster dose,Percent of completed primary series 5+ pop with a first booster dose,Residents 12+ with a first booster dose,Percent of completed primary series 12+ pop with a first booster dose,Residents 18+ with a first booster dose,Percent of completed primary series 18+ pop with a first booster dose,Residents 65+ with a first booster dose,Percent of completed primary series 65+ pop with a first booster dose,Residents with a second booster dose,Residents 50+ with a second booster dose,Percent of first booster dose 50+ pop with a second booster dose,Residents 65+ with a second booster dose,Percent of first booster dose 65+ pop with a second booster dose,Children <5 with at least one dose,People with an updated booster dose
United States,871852135,262599,337645,627854963,189108,564817082,218739,265111489,79.9,234470372,90.8,226200755,68.1,201124156,77.9,519363315,34863540,320293420,15449200,31338500,856900,0,18916447,235757021,5254470,372455530,9523294,35302,690663,57935108,95,50868579,92.8,166237772,303398,1591200,252465699,89,216518485,603353895,212808,307510,263569164,84.4,225593259,72.2,625146535,200197,279203,110835775,49,110831519,49.1,109377700,50.5,104798224,52.1,36299632,71.4,29562884,25623483,39,16837064,46.4,1362906,14777764
Alaska,1911665,261319,346591,1244818,170163,1106652,200640,526106,71.9,460569,83.5,470782,64.4,414043,75.1,1097345,N/A,724520,N/A,85900,3900,0,46205,475886,N/A,721273,N/A,154,1300,89111,95,80681,88.1,261517,285536,2087240,497807,81.8,447924,1188621,195215,313966,522307,76.8,468975,68.9,1238300,181978,280935,224572,47.7,224554,47.9,221134,49.4,210079,50.7,62220,77.1,N/A,50456,41.2,30439,48.9,N/A,N/A
Alabama,11279040,230035,295659,6649782,135622,6183057,162077,3148955,64.2,2898257,76,2571271,52.4,2383069,62.5,5986980,N/A,4871660,N/A,401700,18700,0,178898,2866243,N/A,3603477,N/A,346,818,829161,95,713243,83.9,2064085,242880,1327200,3069188,73.3,2518849,6507608,155429,269390,3142390,68.2,2570082,55.8,6639102,144052,244727,983521,38.3,983457,38.3,979007,38.9,956450,40.1,435366,61,N/A,194224,27.1,138160,31.7,N/A,N/A
Arkansas,7490780,248220,323206,4579370,151745,4167303,179807,2073457,68.7,1856864,80.1,1690359,56,1524100,65.8,4094560,N/A,3110220,N/A,262200,23800,0,125688,1950725,N/A,2496653,N/A,237,6067,512909,95,433180,82.7,1372991,262080,1429860,1995358,78,1636453,4439469,173603,292923,2065157,73,1687794,59.7,4566487,161398,264754,721623,42.7,721563,42.8,715521,43.7,692531,45.4,294868,68.1,N/A,173679,35.7,124607,42.3,N/A,N/A
American Samoa,125910,265678,401819,114422,241437,85022,271332,46004,95,32641,95,42402,89.5,29926,95,100110,N/A,25200,N/A,600,0,0,580,25341,N/A,87228,N/A,0,1273,3244,95,2994,91.3,9277,283008,3841060,39423,95,36347,101703,275491,341062,45987,95,42402,95,114405,265379,292067,24539,57.9,24539,57.9,24516,67.4,21077,70.4,2391,79.9,N/A,2030,24.3,801,33.5,N/A,N/A
Arizona,17664520,242687,313285,13368337,183663,11966926,212237,5544593,76.2,4848844,86,4635968,63.7,4103473,72.8,10422900,N/A,6613020,N/A,616700,11900,0,379464,5186827,N/A,7754928,N/A,990,46128,1342921,95,1164748,89,3996254,305376,1349850,5264334,84.8,4438060,12838662,206873,284633,5517706,80.6,4627528,67.6,13321166,194500,257917,2124372,45.8,2124260,45.9,2097329,47.3,2001224,48.8,773207,66.4,N/A,527448,40.1,361574,46.8,N/A,N/A
Bureau of Prisons,385130,N/A,N/A,333711,N/A,333709,N/A,151499,N/A,151497,N/A,138571,N/A,138570,N/A,199710,N/A,169220,N/A,16200,0,0,14176,154276,N/A,165227,N/A,0,32,4103,0,3756,0,11194,0,0,151497,0,138570,333709,0,0,151497,0,138570,0,333709,0,0,51928,37.5,51928,37.5,51928,37.5,51928,37.5,2651,70.6,N/A,3405,20.8,836,31.5,N/A,N/A
California,107659185,272471,351625,81763386,206932,72442351,236604,33585368,85,29184640,95,29259889,74.1,25518676,83.3,65212705,N/A,38564180,N/A,3771200,111100,0,2325942,30599116,N/A,48817753,N/A,4393,16182,6114367,95,5424604,92.9,18167621,311190,1844070,31726939,94.3,27777663,78069267,232030,319974,33331396,89.8,29137828,78.5,81312419,219003,289964,16291249,55.7,16290764,55.9,16019867,57.7,15202149,59.6,4225571,77.9,N/A,3578567,42.9,2163848,51.2,N/A,N/A
Colorado,15348115,266519,341129,11918400,206962,10670528,237164,4727849,82.1,4142078,92.1,4161125,72.3,3671330,81.6,9358675,N/A,5473240,N/A,499900,16300,0,345199,4553994,N/A,7001206,N/A,1548,16453,886964,95,805328,95,2843864,337586,1821930,4466706,90.5,3961735,11398923,230932,310939,4684825,86.3,4144911,76.4,11841883,218222,282835,2322180,55.8,2322110,56,2281835,57.6,2171725,59.2,640358,79.5,N/A,607055,49.8,376712,58.8,N/A,N/A
Connecticut,10618225,297822,374165,8273306,232052,7395407,260599,3534406,95,3108807,95,2904048,81.5,2555916,90.1,6130645,N/A,4128580,N/A,352300,6700,0,252161,3144511,N/A,4874997,N/A,321,1316,779841,95,639383,95,2190844,347618,1684780,3360574,95,2767591,7937959,255573,341868,3512779,95,2895343,85.6,8235512,243397,313817,1567645,54,1567612,54.1,1551138,56,1476522,57.8,480492,75.1,N/A,374525,40.4,243490,50.7,N/A,N/A
